"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1632","Navigation from login page to registration page","LMS system","Thu May 08 20:43:28 GMT 2025","passed","Thu May 08 20:43:29 GMT 2025","Authorization","Authentication","",""
"","1647","User login with wrong email or password","LMS system","Thu May 08 20:43:27 GMT 2025","passed","Thu May 08 20:43:29 GMT 2025","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Thu May 08 20:43:42 GMT 2025","passed","Thu May 08 20:43:42 GMT 2025","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Thu May 08 20:43:41 GMT 2025","passed","Thu May 08 20:43:41 GMT 2025","TestUserAuthentication","test_markers","",""
"","1812","Check displaying of empty courses list","LMS system","Thu May 08 20:43:32 GMT 2025","passed","Thu May 08 20:43:34 GMT 2025","Courses","Courses","",""
"","4249","Create course","LMS system","Thu May 08 20:43:34 GMT 2025","passed","Thu May 08 20:43:38 GMT 2025","Courses","Courses","",""
"","4215","Registration with correct email, username and password","LMS system","Thu May 08 20:43:22 GMT 2025","passed","Thu May 08 20:43:27 GMT 2025","Authorization","Authentication","",""
"","2129","Check displaying of dashboard page","LMS system","Thu May 08 20:43:39 GMT 2025","passed","Thu May 08 20:43:42 GMT 2025","Dashboard","Dashboard","",""
"","0","test_login","tests.pytest","Thu May 08 20:43:41 GMT 2025","passed","Thu May 08 20:43:41 GMT 2025","TestUserAuthentication","test_markers","",""
"","5393","Edit course","LMS system","Thu May 08 20:43:34 GMT 2025","passed","Thu May 08 20:43:40 GMT 2025","Courses","Courses","",""
"","2242","User login with wrong email or password","LMS system","Thu May 08 20:43:22 GMT 2025","passed","Thu May 08 20:43:25 GMT 2025","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Thu May 08 20:43:41 GMT 2025","passed","Thu May 08 20:43:41 GMT 2025","TestUserInterface","test_markers","",""
"","1911","User login with wrong email or password","LMS system","Thu May 08 20:43:25 GMT 2025","passed","Thu May 08 20:43:27 GMT 2025","Authorization","Authentication","",""
"","2145","Registration with correct email, username and password","LMS system","Thu May 08 20:43:29 GMT 2025","passed","Thu May 08 20:43:31 GMT 2025","Registration","Authentication","",""
