"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login","tests.pytest","Fri May 09 10:50:04 GMT 2025","passed","Fri May 09 10:50:04 GMT 2025","TestUserAuthentication","test_markers","",""
"","1","test_logout","tests.pytest","Fri May 09 10:50:04 GMT 2025","passed","Fri May 09 10:50:04 GMT 2025","TestUserAuthentication","test_markers","",""
"","4889","Edit course","LMS system","Fri May 09 10:49:58 GMT 2025","passed","Fri May 09 10:50:03 GMT 2025","Courses","Courses","",""
"","2002","User login with wrong email or password","LMS system","Fri May 09 10:49:48 GMT 2025","passed","Fri May 09 10:49:50 GMT 2025","Authorization","Authentication","",""
"","1453","Navigation from login page to registration page","LMS system","Fri May 09 10:49:53 GMT 2025","passed","Fri May 09 10:49:54 GMT 2025","Authorization","Authentication","",""
"","1","test_forgot_password_link","tests.pytest","Fri May 09 10:50:04 GMT 2025","passed","Fri May 09 10:50:04 GMT 2025","TestUserInterface","test_markers","",""
"","3941","Create course","LMS system","Fri May 09 10:49:58 GMT 2025","passed","Fri May 09 10:50:02 GMT 2025","Courses","Courses","",""
"","1916","Check displaying of dashboard page","LMS system","Fri May 09 10:50:03 GMT 2025","passed","Fri May 09 10:50:05 GMT 2025","Dashboard","Dashboard","",""
"","1475","User login with wrong email or password","LMS system","Fri May 09 10:49:52 GMT 2025","passed","Fri May 09 10:49:54 GMT 2025","Authorization","Authentication","",""
"","3977","Registration with correct email, username and password","LMS system","Fri May 09 10:49:48 GMT 2025","passed","Fri May 09 10:49:52 GMT 2025","Authorization","Authentication","",""
"","1449","Check displaying of empty courses list","LMS system","Fri May 09 10:49:56 GMT 2025","passed","Fri May 09 10:49:58 GMT 2025","Courses","Courses","",""
"","1","test_password_reset","tests.pytest","Fri May 09 10:50:05 GMT 2025","passed","Fri May 09 10:50:05 GMT 2025","TestUserAuthentication","test_markers","",""
"","1929","Registration with correct email, username and password","LMS system","Fri May 09 10:49:54 GMT 2025","passed","Fri May 09 10:49:56 GMT 2025","Registration","Authentication","",""
"","1849","User login with wrong email or password","LMS system","Fri May 09 10:49:50 GMT 2025","passed","Fri May 09 10:49:52 GMT 2025","Authorization","Authentication","",""
