"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1892","Registration with correct email, username and password","LMS system","Fri May 09 11:17:05 GMT 2025","passed","Fri May 09 11:17:06 GMT 2025","Registration","Authentication","",""
"","1442","User login with wrong email or password","LMS system","Fri May 09 11:17:03 GMT 2025","passed","Fri May 09 11:17:04 GMT 2025","Authorization","Authentication","",""
"","1661","Check displaying of dashboard page","LMS system","Fri May 09 11:17:13 GMT 2025","passed","Fri May 09 11:17:15 GMT 2025","Dashboard","Dashboard","",""
"","1787","User login with wrong email or password","LMS system","Fri May 09 11:16:58 GMT 2025","passed","Fri May 09 11:17:00 GMT 2025","Authorization","Authentication","",""
"","3434","Create course","LMS system","Fri May 09 11:17:09 GMT 2025","passed","Fri May 09 11:17:12 GMT 2025","Courses","Courses","",""
"","1773","User login with wrong email or password","LMS system","Fri May 09 11:17:01 GMT 2025","passed","Fri May 09 11:17:03 GMT 2025","Authorization","Authentication","",""
"","4200","Edit course","LMS system","Fri May 09 11:17:08 GMT 2025","passed","Fri May 09 11:17:13 GMT 2025","Courses","Courses","",""
"","3659","Registration with correct email, username and password","LMS system","Fri May 09 11:16:58 GMT 2025","passed","Fri May 09 11:17:02 GMT 2025","Authorization","Authentication","",""
"","1449","Check displaying of empty courses list","LMS system","Fri May 09 11:17:07 GMT 2025","passed","Fri May 09 11:17:08 GMT 2025","Courses","Courses","",""
"","1411","Navigation from login page to registration page","LMS system","Fri May 09 11:17:03 GMT 2025","passed","Fri May 09 11:17:04 GMT 2025","Authorization","Authentication","",""
