"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3499","Create course","LMS system","Tue May 06 11:24:32 GMT 2025","passed","Tue May 06 11:24:36 GMT 2025","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Tue May 06 11:24:38 GMT 2025","passed","Tue May 06 11:24:38 GMT 2025","TestUserInterface","test_markers","",""
"","1595","Check displaying of empty courses list","LMS system","Tue May 06 11:24:31 GMT 2025","passed","Tue May 06 11:24:32 GMT 2025","Courses","Courses","",""
"","1818","Registration with correct email, username and password","LMS system","Tue May 06 11:24:28 GMT 2025","passed","Tue May 06 11:24:30 GMT 2025","Registration","Authentication","",""
"","1455","User login with wrong email or password","LMS system","Tue May 06 11:24:27 GMT 2025","passed","Tue May 06 11:24:28 GMT 2025","Authorization","Authentication","",""
"","4489","Edit course","LMS system","Tue May 06 11:24:33 GMT 2025","passed","Tue May 06 11:24:37 GMT 2025","Courses","Courses","",""
"","0","test_login","tests.pytest","Tue May 06 11:24:38 GMT 2025","passed","Tue May 06 11:24:38 GMT 2025","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","Tue May 06 11:24:38 GMT 2025","passed","Tue May 06 11:24:38 GMT 2025","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","Tue May 06 11:24:39 GMT 2025","passed","Tue May 06 11:24:39 GMT 2025","TestUserAuthentication","test_markers","",""
"","3900","Registration with correct email, username and password","LMS system","Tue May 06 11:24:22 GMT 2025","passed","Tue May 06 11:24:26 GMT 2025","Authorization","Authentication","",""
"","2005","User login with wrong email or password","LMS system","Tue May 06 11:24:22 GMT 2025","passed","Tue May 06 11:24:24 GMT 2025","Authorization","Authentication","",""
"","1428","Navigation from login page to registration page","LMS system","Tue May 06 11:24:27 GMT 2025","passed","Tue May 06 11:24:28 GMT 2025","Authorization","Authentication","",""
"","1807","Check displaying of dashboard page","LMS system","Tue May 06 11:24:37 GMT 2025","passed","Tue May 06 11:24:39 GMT 2025","Dashboard","Dashboard","",""
"","1864","User login with wrong email or password","LMS system","Tue May 06 11:24:25 GMT 2025","passed","Tue May 06 11:24:26 GMT 2025","Authorization","Authentication","",""
